image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
38,0.1755,0.0092,40.696,0.7021,0.3536,0.0,44.6292,0.0018,0.002,1.1005
39,0.1122,0.0121,38.3461,0.5852,0.3779,0.0,45.3912,0.0016,0.0011,1.1191
40,0.1067,0.0129,37.8197,0.613,0.3252,0.0,46.1864,0.0023,0.0011,1.101
41,0.2204,0.0103,39.7224,0.6707,0.3101,0.0,45.1625,0.002,0.001,1.1178
42,0.1555,0.0108,39.3206,0.6685,0.3254,0.0,45.2752,0.0021,0.0017,1.0997
43,0.1484,0.0131,37.6717,0.6495,0.2728,0.0,45.9759,0.0025,0.0014,1.1216
44,0.1911,0.0119,38.4792,0.628,0.3473,0.0,44.8902,0.0014,0.0008,1.1063
45,0.2846,0.0108,39.3714,0.7246,0.3694,0.0,43.9775,0.0018,0.0003,1.1072
46,0.221,0.0118,38.5517,0.6453,0.3345,0.0,44.6023,0.0015,0.0009,1.1024
47,0.1781,0.0121,38.3481,0.6682,0.3321,0.0,45.0327,0.002,0.0014,1.1243
48,0.2334,0.0109,39.2396,0.6845,0.3319,0.0,44.8922,0.002,0.0019,1.1011
49,0.2435,0.011,39.1849,0.7059,0.3102,0.0,44.7107,0.0021,0.0002,1.1205
50,0.4191,0.0087,41.2476,0.779,0.3217,0.0,43.4552,0.0019,0.0014,1.1317
51,0.207,0.0151,36.4452,0.6239,0.2726,0.0,45.8884,0.0022,0.0003,1.1172
52,0.3246,0.0091,40.778,0.7416,0.3451,0.0,44.2049,0.0019,0.001,1.1214
53,0.1724,0.0116,38.6879,0.6355,0.298,0.0,45.4766,0.0021,0.0006,1.1008
54,0.3211,0.0094,40.5821,0.7444,0.3451,0.0,43.9051,0.0019,0.0019,1.1217
55,0.1656,0.0117,38.6114,0.6414,0.3159,0.0,45.1635,0.0019,0.0002,1.1023
56,0.2125,0.0103,39.7436,0.6811,0.3574,0.0,44.6423,0.0016,0.0007,1.1208
57,0.1604,0.0135,37.3733,0.5803,0.3412,0.0,45.6677,0.0018,0.0008,1.0986
58,0.1766,0.0128,37.8773,0.6343,0.3382,0.0,45.322,0.002,0.0004,1.1227
59,0.1206,0.0112,39.0041,0.6368,0.3477,0.0,44.9642,0.0016,0.0002,1.1006
60,0.2259,0.0122,38.2549,0.6791,0.3361,0.0,44.7627,0.0019,0.0003,1.1199
61,0.2055,0.0095,40.4145,0.7178,0.3488,0.0,44.6639,0.0018,0.0014,1.1155
62,0.1344,0.0138,37.1789,0.5833,0.3272,0.0,45.8326,0.002,0.0007,1.1179
63,0.2462,0.0114,38.8705,0.6735,0.3119,0.0,45.1432,0.002,0.0015,1.1017
64,0.3155,0.0088,41.0675,0.767,0.3121,0.0,44.4666,0.0024,0.0017,1.1115
65,0.3601,0.0108,39.3213,0.7646,0.345,0.0,44.1317,0.0022,0.0023,1.0997
66,0.2412,0.0104,39.692,0.6941,0.2836,0.0,44.8627,0.0022,0.0001,1.1202
67,0.1341,0.0159,35.9846,0.5193,0.3353,0.0,46.0781,0.0016,0.0009,1.1064
68,0.4211,0.0095,40.4431,0.7706,0.3227,0.0,43.5693,0.0019,0.0015,1.1291
69,0.1647,0.0105,39.5661,0.6575,0.33,0.0,44.9963,0.0016,0.0011,1.1006
70,0.1631,0.009,40.8797,0.7235,0.3263,0.0,45.0197,0.0022,0.0001,1.1093
71,0.3603,0.0108,39.3353,0.7833,0.3479,0.0,43.6703,0.0021,0.001,1.102
72,0.1764,0.0131,37.6515,0.6578,0.3323,0.0,45.1801,0.002,0.0007,1.1232
73,0.1254,0.0098,40.1542,0.6877,0.3477,0.0,44.8717,0.0021,0.0003,1.1025
74,0.2043,0.0133,37.5538,0.6592,0.3261,0.0,45.1759,0.0019,0.0011,1.1272
75,0.2503,0.0094,40.5058,0.751,0.3185,0.0,44.9138,0.0024,0.0007,1.1018
76,0.1705,0.0146,36.7011,0.5847,0.313,0.0,45.6804,0.0018,0.0008,1.111
77,0.1569,0.0104,39.6497,0.6407,0.3126,0.0,44.7436,0.0016,0.0004,1.1027
78,0.3327,0.0093,40.6007,0.7532,0.3293,0.0,44.1121,0.0021,0.0016,1.122
79,0.134,0.0141,37.0356,0.5607,0.3132,0.0,45.9688,0.0018,0.0006,1.0989
80,0.1874,0.0132,37.6119,0.5907,0.3633,0.0,45.3202,0.0017,0.0008,1.1251
81,0.1717,0.0116,38.6963,0.6809,0.3314,0.0,45.2808,0.002,0.0017,1.0999
82,0.2353,0.0111,39.0703,0.6621,0.3764,0.0,44.0761,0.0013,-0.0001,1.1171
83,0.2455,0.0111,39.0695,0.684,0.3091,0.0,44.8208,0.002,0.0014,1.1005
84,0.1576,0.0146,36.6916,0.6192,0.3246,0.0,45.4586,0.002,-0.0,1.1225
85,0.2424,0.0115,38.8095,0.6509,0.336,0.0,44.6333,0.0015,0.0006,1.1078
86,0.1481,0.0143,36.9047,0.5664,0.3605,0.0,45.8605,0.0018,0.001,1.105
87,0.3919,0.0087,41.2349,0.7761,0.3412,0.0,43.5986,0.002,0.0021,1.1007
88,0.2093,0.0154,36.2729,0.6182,0.3184,0.0,45.6025,0.0019,0.0004,1.1184
89,0.3196,0.0105,39.596,0.7343,0.309,0.0,44.6446,0.0023,0.0014,1.1012
90,0.1566,0.0124,38.1029,0.6095,0.2766,0.0,44.1217,0.0009,0.0001,1.1096
91,0.3075,0.0098,40.1688,0.7365,0.3101,0.0,44.6153,0.0023,0.001,1.1001
92,0.1059,0.0147,36.6327,0.5387,0.3495,0.0,45.9495,0.0017,0.0001,1.113
93,0.4164,0.0087,41.2315,0.7847,0.3455,0.0,43.7859,0.0021,0.0019,1.1
94,0.2224,0.013,37.7444,0.6451,0.3397,0.0,44.6702,0.0018,0.0004,1.1176
95,0.1794,0.0115,38.808,0.664,0.3267,0.0,45.1026,0.0019,0.0005,1.0992
96,0.2838,0.0149,36.5338,0.6861,0.3322,0.0,45.0081,0.0021,0.0005,1.1284
97,0.1555,0.0157,36.0821,0.606,0.2857,0.0,45.4471,0.0018,-0.0005,1.128
98,0.2228,0.0138,37.2229,0.6386,0.3033,0.0,45.3084,0.0021,0.0013,1.1139
99,0.277,0.0141,37.0148,0.6956,0.3136,0.0,44.4985,0.0021,0.0003,1.1153
100,0.2464,0.0092,40.6819,0.7288,0.352,0.0,44.5743,0.0021,0.0022,1.0999
101,0.1815,0.012,38.4353,0.6251,0.3349,0.0,45.5879,0.0022,0.0013,1.1198
102,0.4121,0.0085,41.4455,0.7902,0.3325,0.0,43.7546,0.002,0.0015,1.1241
103,0.1526,0.0122,38.2706,0.5978,0.3366,0.0,45.1454,0.0016,-0.0001,1.1044
104,0.1837,0.0115,38.7806,0.6805,0.2894,0.0,45.5393,0.0022,0.0008,1.1278
